time,latitude,longitude,number,step,surface,valid_time,u10,v10,d2m,t2m,sp
2019-01-01 00:00:00,53.245,1.007,0,0 days,0.0,2019-01-01 00:00:00,10.493119,1.1755414,278.90436,280.98853,103082.0
2019-01-01 00:00:00,53.245,1.258,0,0 days,0.0,2019-01-01 00:00:00,10.630174,0.9207883,278.97412,281.07007,103026.9
2019-01-01 00:00:00,52.994,1.007,0,0 days,0.0,2019-01-01 00:00:00,9.566789,1.2906766,278.5657,280.44788,102910.445
2019-01-01 00:00:00,52.994,1.258,0,0 days,0.0,2019-01-01 00:00:00,9.851823,0.9134946,278.68356,280.6064,102956.766
2019-01-01 01:00:00,53.245,1.007,0,0 days,0.0,2019-01-01 01:00:00,10.648502,1.1432202,278.9397,281.0442,103048.22
2019-01-01 01:00:00,53.245,1.258,0,0 days,0.0,2019-01-01 01:00:00,10.863956,0.8864987,279.0133,281.12933,102992.125
2019-01-01 01:00:00,52.994,1.007,0,0 days,0.0,2019-01-01 01:00:00,9.998722,0.9945462,278.54858,280.39948,102885.62
2019-01-01 01:00:00,52.994,1.258,0,0 days,0.0,2019-01-01 01:00:00,10.296879,0.6975262,278.66617,280.5481,102929.89
2019-01-01 02:00:00,53.245,1.007,0,0 days,0.0,2019-01-01 02:00:00,10.720936,1.1106957,278.99466,281.19244,103021.516
2019-01-01 02:00:00,53.245,1.258,0,0 days,0.0,2019-01-01 02:00:00,10.9243965,0.7870568,279.07428,281.2719,102965.414
2019-01-01 02:00:00,52.994,1.007,0,0 days,0.0,2019-01-01 02:00:00,9.872913,1.2901849,278.56708,280.4533,102858.08
2019-01-01 02:00:00,52.994,1.258,0,0 days,0.0,2019-01-01 02:00:00,10.260029,0.8574914,278.68396,280.6054,102901.33
2019-01-01 03:00:00,53.245,1.007,0,0 days,0.0,2019-01-01 03:00:00,10.659187,0.48341852,279.14783,281.36945,103025.66
2019-01-01 03:00:00,53.245,1.258,0,0 days,0.0,2019-01-01 03:00:00,10.7844925,0.19940668,279.22165,281.45074,102969.52
2019-01-01 03:00:00,52.994,1.007,0,0 days,0.0,2019-01-01 03:00:00,9.996849,0.9862109,278.64563,280.5755,102854.19
2019-01-01 03:00:00,52.994,1.258,0,0 days,0.0,2019-01-01 03:00:00,10.319557,0.5419665,278.75836,280.71912,102896.44
2019-01-01 04:00:00,53.245,1.007,0,0 days,0.0,2019-01-01 04:00:00,10.487803,-0.47085118,279.4094,281.60565,103005.67
2019-01-01 04:00:00,53.245,1.258,0,0 days,0.0,2019-01-01 04:00:00,10.612239,-0.7295487,279.46564,281.66782,102948.516
2019-01-01 04:00:00,52.994,1.007,0,0 days,0.0,2019-01-01 04:00:00,10.027507,0.15643764,278.83325,280.7911,102829.195
2019-01-01 04:00:00,52.994,1.258,0,0 days,0.0,2019-01-01 04:00:00,10.351176,-0.27503514,278.92987,280.91418,102869.43
2019-01-01 05:00:00,53.245,1.007,0,0 days,0.0,2019-01-01 05:00:00,10.237644,-1.323906,279.70068,281.79758,102968.34
2019-01-01 05:00:00,53.245,1.258,0,0 days,0.0,2019-01-01 05:00:00,10.333973,-1.6204453,279.75293,281.88663,102911.18
2019-01-01 05:00:00,52.994,1.007,0,0 days,0.0,2019-01-01 05:00:00,9.780048,-0.6934738,279.12885,281.06366,102791.81
2019-01-01 05:00:00,52.994,1.258,0,0 days,0.0,2019-01-01 05:00:00,10.103046,-1.1423416,279.2226,281.19754,102831.04
2019-01-01 06:00:00,53.245,1.007,0,0 days,0.0,2019-01-01 06:00:00,10.058342,-2.216959,279.96118,281.96558,102970.125
2019-01-01 06:00:00,53.245,1.258,0,0 days,0.0,2019-01-01 06:00:00,10.05117,-2.4593296,280.0114,282.0454,102913.016
2019-01-01 06:00:00,52.994,1.007,0,0 days,0.0,2019-01-01 06:00:00,9.589256,-1.3239536,279.4311,281.31122,102783.81
2019-01-01 06:00:00,52.994,1.258,0,0 days,0.0,2019-01-01 06:00:00,9.733604,-1.6872959,279.52563,281.43298,102825.94
2019-01-01 07:00:00,53.245,1.007,0,0 days,0.0,2019-01-01 07:00:00,9.518538,-3.4427319,280.17834,282.09924,103006.54
2019-01-01 07:00:00,53.245,1.258,0,0 days,0.0,2019-01-01 07:00:00,9.513129,-3.690321,280.2404,282.17313,102950.375
2019-01-01 07:00:00,52.994,1.007,0,0 days,0.0,2019-01-01 07:00:00,9.253898,-2.1475658,279.67682,281.4853,102815.234
2019-01-01 07:00:00,52.994,1.258,0,0 days,0.0,2019-01-01 07:00:00,9.387504,-2.5231457,279.77698,281.59598,102859.31
2019-01-01 08:00:00,53.245,1.007,0,0 days,0.0,2019-01-01 08:00:00,8.146607,-4.8474865,280.36877,282.1815,103088.0
2019-01-01 08:00:00,53.245,1.258,0,0 days,0.0,2019-01-01 08:00:00,8.037339,-5.2338696,280.4323,282.23004,103030.84
2019-01-01 08:00:00,52.994,1.007,0,0 days,0.0,2019-01-01 08:00:00,8.430024,-3.2386303,279.87863,281.58252,102886.72
2019-01-01 08:00:00,52.994,1.258,0,0 days,0.0,2019-01-01 08:00:00,8.58899,-3.6899548,279.9961,281.72174,102929.84
2019-01-01 09:00:00,53.245,1.007,0,0 days,0.0,2019-01-01 09:00:00,5.7881813,-6.255808,280.2437,282.0973,103136.1
2019-01-01 09:00:00,53.245,1.258,0,0 days,0.0,2019-01-01 09:00:00,5.424259,-6.7168064,280.16013,282.11615,103078.97
2019-01-01 09:00:00,52.994,1.007,0,0 days,0.0,2019-01-01 09:00:00,7.1440163,-4.4168186,280.00787,281.5928,102921.87
2019-01-01 09:00:00,52.994,1.258,0,0 days,0.0,2019-01-01 09:00:00,7.0679665,-4.9655857,280.1085,281.7379,102965.984
2019-01-01 10:00:00,53.245,1.007,0,0 days,0.0,2019-01-01 10:00:00,2.5365124,-7.523423,280.21063,282.16296,103211.65
2019-01-01 10:00:00,53.245,1.258,0,0 days,0.0,2019-01-01 10:00:00,2.2063122,-7.8795023,280.00076,282.21796,103156.516
2019-01-01 10:00:00,52.994,1.007,0,0 days,0.0,2019-01-01 10:00:00,4.7592907,-5.897111,280.21765,281.77948,102983.27
2019-01-01 10:00:00,52.994,1.258,0,0 days,0.0,2019-01-01 10:00:00,4.343458,-6.4965677,280.3398,281.97888,103030.41
2019-01-01 11:00:00,53.245,1.007,0,0 days,0.0,2019-01-01 11:00:00,1.2900858,-7.6269207,278.86758,281.87628,103269.766
2019-01-01 11:00:00,53.245,1.258,0,0 days,0.0,2019-01-01 11:00:00,1.4268656,-7.8058147,278.36578,281.91742,103212.64
2019-01-01 11:00:00,52.994,1.007,0,0 days,0.0,2019-01-01 11:00:00,2.3934793,-6.7373333,279.75638,281.59082,103038.305
2019-01-01 11:00:00,52.994,1.258,0,0 days,0.0,2019-01-01 11:00:00,2.0799723,-7.0431805,279.61032,281.77164,103085.52
2019-01-01 12:00:00,53.245,1.007,0,0 days,0.0,2019-01-01 12:00:00,1.971283,-7.937763,277.6216,281.5636,103272.88
2019-01-01 12:00:00,53.245,1.258,0,0 days,0.0,2019-01-01 12:00:00,2.4589844,-8.159687,277.2146,281.61847,103211.72
2019-01-01 12:00:00,52.994,1.007,0,0 days,0.0,2019-01-01 12:00:00,1.6557465,-7.046131,278.65298,281.33093,103041.29
2019-01-01 12:00:00,52.994,1.258,0,0 days,0.0,2019-01-01 12:00:00,1.8957062,-7.2370186,278.2676,281.48965,103084.53
2019-01-01 13:00:00,53.245,1.007,0,0 days,0.0,2019-01-01 13:00:00,2.866457,-8.624054,276.95392,281.31696,103313.47
2019-01-01 13:00:00,53.245,1.258,0,0 days,0.0,2019-01-01 13:00:00,3.5065632,-9.054138,276.61533,281.3839,103250.34
2019-01-01 13:00:00,52.994,1.007,0,0 days,0.0,2019-01-01 13:00:00,1.7869587,-7.3618164,277.6465,281.04382,103084.84
2019-01-01 13:00:00,52.994,1.258,0,0 days,0.0,2019-01-01 13:00:00,2.468172,-7.7075806,277.32773,281.22186,103127.14
2019-01-01 14:00:00,53.245,1.007,0,0 days,0.0,2019-01-01 14:00:00,3.8570967,-9.529155,276.1151,281.16257,103333.72
2019-01-01 14:00:00,53.245,1.258,0,0 days,0.0,2019-01-01 14:00:00,4.4166975,-9.876201,275.8318,281.20685,103268.555
2019-01-01 14:00:00,52.994,1.007,0,0 days,0.0,2019-01-01 14:00:00,2.670146,-8.171153,276.9625,280.83813,103112.1
2019-01-01 14:00:00,52.994,1.258,0,0 days,0.0,2019-01-01 14:00:00,3.4022932,-8.506358,276.73505,281.01505,103151.45
2019-01-01 15:00:00,53.245,1.007,0,0 days,0.0,2019-01-01 15:00:00,4.1858816,-10.524383,275.18582,281.0508,103424.29
2019-01-01 15:00:00,53.245,1.258,0,0 days,0.0,2019-01-01 15:00:00,4.640044,-10.880431,275.03397,281.04877,103357.16
2019-01-01 15:00:00,52.994,1.007,0,0 days,0.0,2019-01-01 15:00:00,3.2556753,-9.06314,276.1365,280.73184,103203.66
2019-01-01 15:00:00,52.994,1.258,0,0 days,0.0,2019-01-01 15:00:00,3.9421072,-9.391845,275.9101,280.8927,103242.03
2019-01-01 16:00:00,53.245,1.007,0,0 days,0.0,2019-01-01 16:00:00,3.8922377,-11.622845,274.41437,280.90634,103498.086
2019-01-01 16:00:00,53.245,1.258,0,0 days,0.0,2019-01-01 16:00:00,4.260524,-11.814983,274.3407,280.87186,103427.95
2019-01-01 16:00:00,52.994,1.007,0,0 days,0.0,2019-01-01 16:00:00,3.353404,-9.88261,275.34903,280.64282,103280.58
2019-01-01 16:00:00,52.994,1.258,0,0 days,0.0,2019-01-01 16:00:00,3.9688826,-10.263653,274.8903,280.7614,103315.86
2019-01-01 17:00:00,53.245,1.007,0,0 days,0.0,2019-01-01 17:00:00,3.3561182,-12.346075,274.02942,280.68417,103601.055
2019-01-01 17:00:00,53.245,1.258,0,0 days,0.0,2019-01-01 17:00:00,3.6540766,-12.463446,274.17566,280.6498,103528.92
2019-01-01 17:00:00,52.994,1.007,0,0 days,0.0,2019-01-01 17:00:00,3.057992,-10.841406,274.46997,280.4882,103374.58
2019-01-01 17:00:00,52.994,1.258,0,0 days,0.0,2019-01-01 17:00:00,3.5438166,-11.217016,274.24637,280.57892,103407.86
2019-01-01 18:00:00,53.245,1.007,0,0 days,0.0,2019-01-01 18:00:00,2.8534822,-12.700703,273.24365,280.63748,103664.11
2019-01-01 18:00:00,53.245,1.258,0,0 days,0.0,2019-01-01 18:00:00,3.1513643,-12.516285,273.18323,280.62857,103591.97
2019-01-01 18:00:00,52.994,1.007,0,0 days,0.0,2019-01-01 18:00:00,2.6056643,-11.668659,273.6019,280.34106,103435.516
2019-01-01 18:00:00,52.994,1.258,0,0 days,0.0,2019-01-01 18:00:00,3.045804,-11.821125,273.63666,280.45224,103468.75
2019-01-01 19:00:00,53.245,1.007,0,0 days,0.0,2019-01-01 19:00:00,2.1430035,-12.9725485,273.0673,280.62106,103718.625
2019-01-01 19:00:00,53.245,1.258,0,0 days,0.0,2019-01-01 19:00:00,2.4733028,-12.822127,272.98483,280.63492,103646.49
2019-01-01 19:00:00,52.994,1.007,0,0 days,0.0,2019-01-01 19:00:00,1.9882641,-12.034682,273.12457,280.32916,103489.05
2019-01-01 19:00:00,52.994,1.258,0,0 days,0.0,2019-01-01 19:00:00,2.4336681,-12.2143545,273.06924,280.45316,103521.31
2019-01-01 20:00:00,53.245,1.007,0,0 days,0.0,2019-01-01 20:00:00,1.4967012,-13.391641,272.84024,280.5462,103763.625
2019-01-01 20:00:00,53.245,1.258,0,0 days,0.0,2019-01-01 20:00:00,1.8573122,-13.198495,273.02493,280.52713,103693.484
2019-01-01 20:00:00,52.994,1.007,0,0 days,0.0,2019-01-01 20:00:00,1.3407869,-12.297616,273.10663,280.28168,103534.11
2019-01-01 20:00:00,52.994,1.258,0,0 days,0.0,2019-01-01 20:00:00,1.7382936,-12.467843,273.22095,280.38095,103567.375
2019-01-01 21:00:00,53.245,1.007,0,0 days,0.0,2019-01-01 21:00:00,1.0894294,-13.047619,272.61255,280.5253,103792.51
2019-01-01 21:00:00,53.245,1.258,0,0 days,0.0,2019-01-01 21:00:00,1.4076209,-12.956142,272.57703,280.50433,103725.375
2019-01-01 21:00:00,52.994,1.007,0,0 days,0.0,2019-01-01 21:00:00,0.78521484,-12.087734,272.68945,280.2426,103565.96
2019-01-01 21:00:00,52.994,1.258,0,0 days,0.0,2019-01-01 21:00:00,1.167707,-12.249386,272.66205,280.33646,103601.25
2019-01-01 22:00:00,53.245,1.007,0,0 days,0.0,2019-01-01 22:00:00,0.026109114,-11.391717,273.73386,280.18356,103846.94
2019-01-01 22:00:00,53.245,1.258,0,0 days,0.0,2019-01-01 22:00:00,0.27020395,-11.397347,273.8283,280.1377,103780.8
2019-01-01 22:00:00,52.994,1.007,0,0 days,0.0,2019-01-01 22:00:00,-0.042860612,-10.732171,273.6149,280.0029,103612.5
2019-01-01 22:00:00,52.994,1.258,0,0 days,0.0,2019-01-01 22:00:00,0.23110332,-10.91607,273.88235,280.07306,103649.75
2019-01-01 23:00:00,53.245,1.007,0,0 days,0.0,2019-01-01 23:00:00,0.2844979,-11.188172,273.16956,280.17627,103910.66
2019-01-01 23:00:00,53.245,1.258,0,0 days,0.0,2019-01-01 23:00:00,0.6547372,-11.168122,273.07697,280.13266,103844.516
2019-01-01 23:00:00,52.994,1.007,0,0 days,0.0,2019-01-01 23:00:00,-0.03817972,-10.458085,273.57898,279.89056,103674.3
2019-01-01 23:00:00,52.994,1.258,0,0 days,0.0,2019-01-01 23:00:00,0.3106667,-10.595857,273.5486,279.96393,103715.45
2019-01-02 00:00:00,53.245,1.007,0,0 days,0.0,2019-01-02 00:00:00,0.53638625,-11.04623,273.05127,280.21655,103968.8
2019-01-02 00:00:00,53.245,1.258,0,0 days,0.0,2019-01-02 00:00:00,0.9881532,-11.029919,273.22223,280.20575,103907.64
2019-01-02 00:00:00,52.994,1.007,0,0 days,0.0,2019-01-02 00:00:00,0.19712234,-10.197323,272.88577,279.96494,103733.34
2019-01-02 00:00:00,52.994,1.258,0,0 days,0.0,2019-01-02 00:00:00,0.6448457,-10.382229,272.89343,280.05264,103777.5
2019-01-02 01:00:00,53.245,1.007,0,0 days,0.0,2019-01-02 01:00:00,0.14967841,-11.075253,273.60687,280.0793,104023.91
2019-01-02 01:00:00,53.245,1.258,0,0 days,0.0,2019-01-02 01:00:00,0.5799152,-11.114468,273.5874,280.09518,103960.75
2019-01-02 01:00:00,52.994,1.007,0,0 days,0.0,2019-01-02 01:00:00,-0.18181878,-10.300228,273.39642,279.9095,103786.51
2019-01-02 01:00:00,52.994,1.258,0,0 days,0.0,2019-01-02 01:00:00,0.29390448,-10.472973,273.51343,279.98557,103830.7
2019-01-02 02:00:00,53.245,1.007,0,0 days,0.0,2019-01-02 02:00:00,0.31007764,-10.790962,273.65485,280.05817,104060.75
2019-01-02 02:00:00,53.245,1.258,0,0 days,0.0,2019-01-02 02:00:00,0.7765693,-10.826103,273.57678,280.07227,103991.66
2019-01-02 02:00:00,52.994,1.007,0,0 days,0.0,2019-01-02 02:00:00,-0.02080921,-10.137749,273.63605,279.82254,103828.3
2019-01-02 02:00:00,52.994,1.258,0,0 days,0.0,2019-01-02 02:00:00,0.56276315,-10.212456,273.72153,279.901,103864.53
2019-01-02 03:00:00,53.245,1.007,0,0 days,0.0,2019-01-02 03:00:00,0.6967085,-10.614739,272.90936,280.15942,104080.72
2019-01-02 03:00:00,53.245,1.258,0,0 days,0.0,2019-01-02 03:00:00,1.0970991,-10.692407,272.95282,280.1681,104012.56
2019-01-02 03:00:00,52.994,1.007,0,0 days,0.0,2019-01-02 03:00:00,0.6144255,-9.982568,273.47772,279.84805,103844.305
2019-01-02 03:00:00,52.994,1.258,0,0 days,0.0,2019-01-02 03:00:00,1.0311887,-10.210519,273.54282,279.90536,103881.484
2019-01-02 04:00:00,53.245,1.007,0,0 days,0.0,2019-01-02 04:00:00,1.0553026,-10.440112,273.15637,280.21,104109.09
2019-01-02 04:00:00,53.245,1.258,0,0 days,0.0,2019-01-02 04:00:00,1.4316759,-10.529468,273.21204,280.2279,104037.97
2019-01-02 04:00:00,52.994,1.007,0,0 days,0.0,2019-01-02 04:00:00,1.1475267,-9.884158,272.82318,279.97693,103873.64
2019-01-02 04:00:00,52.994,1.258,0,0 days,0.0,2019-01-02 04:00:00,1.4225512,-10.196399,272.9422,280.05576,103907.9
2019-01-02 05:00:00,53.245,1.007,0,0 days,0.0,2019-01-02 05:00:00,1.0329142,-10.530996,273.45697,280.13193,104092.29
2019-01-02 05:00:00,53.245,1.258,0,0 days,0.0,2019-01-02 05:00:00,1.2114763,-10.754217,273.45813,280.1117,104025.16
2019-01-02 05:00:00,52.994,1.007,0,0 days,0.0,2019-01-02 05:00:00,1.1962442,-9.936926,273.2557,279.93353,103854.984
2019-01-02 05:00:00,52.994,1.258,0,0 days,0.0,2019-01-02 05:00:00,1.2465029,-10.402899,273.42133,279.9761,103893.195
2019-01-02 06:00:00,53.245,1.007,0,0 days,0.0,2019-01-02 06:00:00,0.843395,-10.534798,273.45215,280.15717,104113.516
2019-01-02 06:00:00,53.245,1.258,0,0 days,0.0,2019-01-02 06:00:00,0.94476295,-10.7636795,273.3948,280.1355,104048.375
2019-01-02 06:00:00,52.994,1.007,0,0 days,0.0,2019-01-02 06:00:00,1.0319326,-9.892921,273.5052,279.89285,103876.15
2019-01-02 06:00:00,52.994,1.258,0,0 days,0.0,2019-01-02 06:00:00,0.9387739,-10.378014,273.61224,279.93427,103915.375
2019-01-02 07:00:00,53.245,1.007,0,0 days,0.0,2019-01-02 07:00:00,0.59307665,-10.396061,273.41736,280.22144,104143.64
2019-01-02 07:00:00,53.245,1.258,0,0 days,0.0,2019-01-02 07:00:00,0.66629213,-10.652683,273.30704,280.21545,104080.516
2019-01-02 07:00:00,52.994,1.007,0,0 days,0.0,2019-01-02 07:00:00,0.8141994,-9.674076,273.41678,279.95312,103905.336
2019-01-02 07:00:00,52.994,1.258,0,0 days,0.0,2019-01-02 07:00:00,0.6165256,-10.189686,273.45837,279.99622,103947.46
2019-01-02 08:00:00,53.245,1.007,0,0 days,0.0,2019-01-02 08:00:00,0.1887889,-10.224942,273.32434,280.3811,104193.11
2019-01-02 08:00:00,53.245,1.258,0,0 days,0.0,2019-01-02 08:00:00,0.21716262,-10.419431,273.3426,280.28653,104134.01
2019-01-02 08:00:00,52.994,1.007,0,0 days,0.0,2019-01-02 08:00:00,0.32281446,-9.521619,273.33984,280.0514,103950.85
2019-01-02 08:00:00,52.994,1.258,0,0 days,0.0,2019-01-02 08:00:00,0.046638027,-9.992063,273.37344,280.0752,103997.984
2019-01-02 09:00:00,53.245,1.007,0,0 days,0.0,2019-01-02 09:00:00,-0.6357615,-9.820192,273.24582,280.49948,104231.734
2019-01-02 09:00:00,53.245,1.258,0,0 days,0.0,2019-01-02 09:00:00,-0.5584986,-9.945147,273.43115,280.3969,104176.56
2019-01-02 09:00:00,52.994,1.007,0,0 days,0.0,2019-01-02 09:00:00,-0.49536157,-9.13225,273.27277,280.22018,103992.4
2019-01-02 09:00:00,52.994,1.258,0,0 days,0.0,2019-01-02 09:00:00,-0.72046304,-9.517,273.46457,280.20926,104042.49
2019-01-02 10:00:00,53.245,1.007,0,0 days,0.0,2019-01-02 10:00:00,-1.1488047,-7.969117,273.85388,280.40128,104294.25
2019-01-02 10:00:00,53.245,1.258,0,0 days,0.0,2019-01-02 10:00:00,-0.8988886,-8.140046,273.5903,280.46384,104233.14
2019-01-02 10:00:00,52.994,1.007,0,0 days,0.0,2019-01-02 10:00:00,-0.7900858,-7.3055277,273.76648,280.15933,104057.81
2019-01-02 10:00:00,52.994,1.258,0,0 days,0.0,2019-01-02 10:00:00,-0.8415537,-7.785783,273.49298,280.29562,104101.95
2019-01-02 11:00:00,53.245,1.007,0,0 days,0.0,2019-01-02 11:00:00,-1.2231369,-7.616437,273.68866,280.4838,104305.5
2019-01-02 11:00:00,53.245,1.258,0,0 days,0.0,2019-01-02 11:00:00,-1.1016006,-7.7575655,273.5331,280.54193,104248.31
2019-01-02 11:00:00,52.994,1.007,0,0 days,0.0,2019-01-02 11:00:00,-0.89476013,-7.18884,273.80273,280.20383,104069.94
2019-01-02 11:00:00,52.994,1.258,0,0 days,0.0,2019-01-02 11:00:00,-1.0189667,-7.630124,273.71393,280.31494,104116.125
2019-01-02 12:00:00,53.245,1.007,0,0 days,0.0,2019-01-02 12:00:00,-0.8457588,-6.907138,273.75656,280.4941,104281.2
2019-01-02 12:00:00,53.245,1.258,0,0 days,0.0,2019-01-02 12:00:00,-0.7269424,-7.119815,273.60217,280.57288,104221.1
2019-01-02 12:00:00,52.994,1.007,0,0 days,0.0,2019-01-02 12:00:00,-0.6656822,-6.6361876,273.8082,280.2433,104044.75
2019-01-02 12:00:00,52.994,1.258,0,0 days,0.0,2019-01-02 12:00:00,-0.6655258,-6.8790617,273.69943,280.35123,104089.94
2019-01-02 13:00:00,53.245,1.007,0,0 days,0.0,2019-01-02 13:00:00,-0.36092722,-6.559946,274.0794,280.4091,104255.5
2019-01-02 13:00:00,53.245,1.258,0,0 days,0.0,2019-01-02 13:00:00,-0.29103816,-6.750757,273.6419,280.51883,104196.42
2019-01-02 13:00:00,52.994,1.007,0,0 days,0.0,2019-01-02 13:00:00,-0.14002955,-6.2118626,274.27136,280.17966,104015.11
2019-01-02 13:00:00,52.994,1.258,0,0 days,0.0,2019-01-02 13:00:00,-0.22531092,-6.504816,273.78876,280.33432,104061.3
2019-01-02 14:00:00,53.245,1.007,0,0 days,0.0,2019-01-02 14:00:00,-0.19359046,-6.5232897,274.50262,280.2801,104258.75
2019-01-02 14:00:00,53.245,1.258,0,0 days,0.0,2019-01-02 14:00:00,-0.12984687,-6.7632647,274.07922,280.3584,104204.61
2019-01-02 14:00:00,52.994,1.007,0,0 days,0.0,2019-01-02 14:00:00,0.26384515,-6.059041,274.41364,280.10333,104020.31
2019-01-02 14:00:00,52.994,1.258,0,0 days,0.0,2019-01-02 14:00:00,0.045606315,-6.4153337,273.90802,280.26855,104069.52
2019-01-02 15:00:00,53.245,1.007,0,0 days,0.0,2019-01-02 15:00:00,-0.0848794,-6.554308,274.75687,280.1444,104276.164
2019-01-02 15:00:00,53.245,1.258,0,0 days,0.0,2019-01-02 15:00:00,-0.19996119,-6.8411274,274.4809,280.20013,104221.03
2019-01-02 15:00:00,52.994,1.007,0,0 days,0.0,2019-01-02 15:00:00,0.32704687,-6.0266285,274.4291,280.00076,104036.83
2019-01-02 15:00:00,52.994,1.258,0,0 days,0.0,2019-01-02 15:00:00,-0.061762333,-6.4144,274.1621,280.155,104086.016
2019-01-02 16:00:00,53.245,1.007,0,0 days,0.0,2019-01-02 16:00:00,0.35629368,-6.376544,274.8472,280.06342,104288.61
2019-01-02 16:00:00,53.245,1.258,0,0 days,0.0,2019-01-02 16:00:00,0.22320652,-6.613559,274.60583,280.08044,104230.57
2019-01-02 16:00:00,52.994,1.007,0,0 days,0.0,2019-01-02 16:00:00,0.7298136,-5.829547,274.70438,279.83014,104050.3
2019-01-02 16:00:00,52.994,1.258,0,0 days,0.0,2019-01-02 16:00:00,0.28955173,-6.1394835,274.48065,279.99667,104098.516
2019-01-02 17:00:00,53.245,1.007,0,0 days,0.0,2019-01-02 17:00:00,0.755619,-6.3222275,274.904,280.00287,104304.695
2019-01-02 17:00:00,53.245,1.258,0,0 days,0.0,2019-01-02 17:00:00,0.61706156,-6.5078354,274.74445,279.9914,104251.59
2019-01-02 17:00:00,52.994,1.007,0,0 days,0.0,2019-01-02 17:00:00,0.857006,-5.8981094,274.73813,279.73184,104069.33
2019-01-02 17:00:00,52.994,1.258,0,0 days,0.0,2019-01-02 17:00:00,0.48766702,-6.107689,274.63226,279.88367,104119.56
2019-01-02 18:00:00,53.245,1.007,0,0 days,0.0,2019-01-02 18:00:00,0.9615198,-6.259942,274.80377,279.9547,104293.71
2019-01-02 18:00:00,53.245,1.258,0,0 days,0.0,2019-01-02 18:00:00,0.73474365,-6.4482355,274.78442,279.88678,104240.67
2019-01-02 18:00:00,52.994,1.007,0,0 days,0.0,2019-01-02 18:00:00,1.1000237,-5.7530756,274.6346,279.68262,104057.375
2019-01-02 18:00:00,52.994,1.258,0,0 days,0.0,2019-01-02 18:00:00,0.6865793,-6.0496607,274.74353,279.78256,104108.58
2019-01-02 19:00:00,53.245,1.007,0,0 days,0.0,2019-01-02 19:00:00,1.0294448,-6.350403,274.87573,279.81976,104298.45
2019-01-02 19:00:00,53.245,1.258,0,0 days,0.0,2019-01-02 19:00:00,0.77735436,-6.507324,274.81668,279.79773,104246.414
2019-01-02 19:00:00,52.994,1.007,0,0 days,0.0,2019-01-02 19:00:00,1.0627013,-5.791687,274.78534,279.47028,104063.195
2019-01-02 19:00:00,52.994,1.258,0,0 days,0.0,2019-01-02 19:00:00,0.6566497,-6.0349884,274.9179,279.62277,104114.45
2019-01-02 20:00:00,53.245,1.007,0,0 days,0.0,2019-01-02 20:00:00,1.2012064,-6.505,274.75638,279.80508,104302.93
2019-01-02 20:00:00,53.245,1.258,0,0 days,0.0,2019-01-02 20:00:00,0.8449595,-6.55247,274.7176,279.77353,104251.83
2019-01-02 20:00:00,52.994,1.007,0,0 days,0.0,2019-01-02 20:00:00,1.2333491,-5.677104,274.7744,279.46564,104067.66
2019-01-02 20:00:00,52.994,1.258,0,0 days,0.0,2019-01-02 20:00:00,0.7719996,-5.904414,274.91492,279.6037,104118.9
2019-01-02 21:00:00,53.245,1.007,0,0 days,0.0,2019-01-02 21:00:00,1.1823757,-6.55906,274.59766,279.75107,104284.38
2019-01-02 21:00:00,53.245,1.258,0,0 days,0.0,2019-01-02 21:00:00,0.82863116,-6.5309687,274.67734,279.76138,104230.34
2019-01-02 21:00:00,52.994,1.007,0,0 days,0.0,2019-01-02 21:00:00,1.1817806,-5.8337183,274.7623,279.39267,104048.14
2019-01-02 21:00:00,52.994,1.258,0,0 days,0.0,2019-01-02 21:00:00,0.8017299,-5.9534235,274.798,279.58173,104099.34
2019-01-02 22:00:00,53.245,1.007,0,0 days,0.0,2019-01-02 22:00:00,1.287464,-5.6406374,275.24142,279.75848,104256.586
2019-01-02 22:00:00,53.245,1.258,0,0 days,0.0,2019-01-02 22:00:00,0.96777713,-5.7296724,275.2674,279.70395,104203.516
2019-01-02 22:00:00,52.994,1.007,0,0 days,0.0,2019-01-02 22:00:00,1.4302558,-5.0472383,275.12234,279.3832,104023.305
2019-01-02 22:00:00,52.994,1.258,0,0 days,0.0,2019-01-02 22:00:00,0.9819907,-5.2663546,275.26776,279.49136,104073.55
2019-01-02 23:00:00,53.245,1.007,0,0 days,0.0,2019-01-02 23:00:00,1.5235748,-5.922412,275.0643,279.76477,104243.016
2019-01-02 23:00:00,53.245,1.258,0,0 days,0.0,2019-01-02 23:00:00,1.2003784,-5.984912,275.22058,279.73364,104191.0
2019-01-02 23:00:00,52.994,1.007,0,0 days,0.0,2019-01-02 23:00:00,1.5623016,-5.305331,275.31015,279.3135,104004.78
2019-01-02 23:00:00,52.994,1.258,0,0 days,0.0,2019-01-02 23:00:00,1.1824188,-5.519717,275.225,279.49823,104059.016
2019-01-03 00:00:00,53.245,1.007,0,0 days,0.0,2019-01-03 00:00:00,1.6419821,-6.2012806,274.99814,279.73492,104228.87
2019-01-03 00:00:00,53.245,1.258,0,0 days,0.0,2019-01-03 00:00:00,1.2880087,-6.2947254,275.14505,279.69818,104178.8
2019-01-03 00:00:00,52.994,1.007,0,0 days,0.0,2019-01-03 00:00:00,1.6697378,-5.55414,275.26065,279.29163,103991.59
2019-01-03 00:00:00,52.994,1.258,0,0 days,0.0,2019-01-03 00:00:00,1.2492666,-5.7781086,275.33878,279.47748,104045.875
